URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/event/dance/the-u-school-of-dance-presents%3a-school-of-dance-gala/75983/",73,62,83,54,92,3041.71,21756.2,0,63,10.5,8566.01,0,0,1,1,0,0,1,1,1
"/event/dance/theatre-ballet-studio-company%3a-emerging-works-series/72231/",74,66,83,54,92,2451.13,21054.4,0,54,4,6520.56,0,0,1,1,0,0,1,1,1
"/event/dance/utah-metropolitan-ballet%3a-tribute/76031/",74,65,83,54,92,3039.24,22097.61,0,55,7,5417.36,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-bunny-breakfast-at-dave-%26-busters/77327/",73,62,83,54,92,3039.95,25476.74,0,54,5,8041.98,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-easter-at-brighton/76547/",73,64,83,54,92,2739.13,22408.63,0,55,5,7539.19,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-easter-bunny-hop-egg-drop/77507/",73,62,83,54,92,3043.06,26527.89,0,60,10,7968.46,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-easter-egg-hunts-at-wheeler-farm/77701/",73,63,83,54,92,3038.27,24222.11,0,54,5,6912.32,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-ivins-easter-egg-scramble-2026/77706/",74,65,83,54,92,2738.68,24136.11,0,52,2,6569.24,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-lindon-easter-egg-hunt/77794/",73,62,83,54,92,3040.05,26488.54,0.02,55,5,7757.87,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-minersville-punkin-fest/77117/",73,62,83,54,92,3041.86,22347.07,0,52,2,8518.71,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-mothers-day-afternoon-tea-at-grand-america/77343/",73,62,83,54,92,3041.28,21764.8,0.01,51,1,7741.39,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-murray-park-farmers-market/77976/",73,64,83,54,92,2739.53,21160.4,0,57,12,6868.08,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-pride-in-progress/78103/",73,62,83,54,92,3040.44,27285.27,0,63,14,7862.06,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-princess-and-pirate-train/75576/",73,62,83,54,92,3040.94,28438.49,0,53,5,8428.53,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-weber-pioneer-days-5k-race/76260/",73,63,83,54,92,2741.28,27204.05,0,57,7,8246.64,0,0,1,1,0,0,1,1,1
